trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 4.95}",25,0,-103.60064755670352,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 4.9}",25,0,-109.19840947836191,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 4.8500000000000005}",20,0,-95.56887792191296,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 4.800000000000001}",25,0,-140.82903238106465,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 4.750000000000001}",25,0,-181.44060137779712,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 4.700000000000001}",20,0,-107.84371888262908,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 4.650000000000001}",30,0,-195.64218318122673,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 4.600000000000001}",20,0,-92.30731404179255,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 4.550000000000002}",25,0,-123.96472101373354,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 4.500000000000002}",20,0,-100.04536366251008,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 4.450000000000002}",20,0,-134.88944573752312,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 4.400000000000002}",20,0,-115.79573077054725,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 4.350000000000002}",25,0,-67.20820183132207,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
