trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.61766703860206,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.3724116214146,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.56440247124117,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,10,-29.716538389891188,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.26954070176785,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.11550957422803,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.65376717015775,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,8,-88.34001800756933,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.9308384483237,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.60555185798742,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.50475287470962,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,10,-123.87784043095532,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.4366449954302,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.01930543672876,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,10,-32.75528680104732,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.50371286537214,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-257.4676390830665,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,5,-229.47596956379542,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,5,-74.23934131493415,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.43911778591905,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.53358920404905,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.68902282295124,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
